mom.id,infant.sex,inf.dob,ibi.num,ibi.adj,ibi.censored,year,mom.dob,mom.age,mom.z,mom.z.2,parity,age.cat
Chacma_5,M,1/3/93,1100,740,1,1993,3/1/87,5.85,-1.45,2.11,Primiparous,young
Chacma_18,M,6/18/92,741,381,1,1992,8/1/86,5.88,-1.44,2.08,Primiparous,young
Chacma_2,M,8/2/93,843,483,1,1993,7/1/87,6.09,-1.39,1.92,Primiparous,young
Chacma_23,M,2/2/02,808,448,1,2002,1/3/96,6.09,-1.39,1.92,Primiparous,young
Chacma_1,M,9/12/05,736,376,1,2005,7/2/99,6.2,-1.35,1.84,Primiparous,young
Chacma_19,M,2/8/92,893,533,1,1992,11/1/85,6.27,-1.34,1.78,Primiparous,young
Chacma_22,F,12/7/01,857,497,1,2001,9/1/95,6.27,-1.34,1.78,Primiparous,young
Chacma_14,M,2/2/96,628,268,1,1996,8/1/89,6.51,-1.27,1.61,Primiparous,young
Chacma_10,F,7/6/92,399,39,0,1992,1/1/86,6.52,-1.27,1.6,Primiparous,young
Chacma_27,F,1/31/96,742,382,1,1996,6/1/89,6.67,-1.23,1.5,Primiparous,young
Chacma_24,M,8/1/99,770,410,1,1999,11/1/92,6.75,-1.2,1.45,Primiparous,young
Chacma_41,F,1/3/96,686,326,1,1996,4/1/89,6.76,-1.2,1.44,Primiparous,young
Chacma_6,M,11/21/05,679,319,0,2005,12/27/98,6.91,-1.16,1.34,Primiparous,young
Chacma_8,M,11/22/01,656,296,0,2001,12/11/94,6.95,-1.15,1.32,Primiparous,young
Chacma_4,M,9/27/05,679,319,1,2005,10/7/98,6.98,-1.14,1.3,Primiparous,young
Chacma_28,M,1/6/96,648,288,1,1996,12/1/88,7.1,-1.11,1.23,Primiparous,young
Chacma_13,F,9/12/99,842,482,0,1999,6/30/92,7.21,-1.08,1.16,Primiparous,young
Chacma_39,F,7/6/95,857,497,1,1995,2/1/88,7.43,-1.02,1.03,Primiparous,young
Chacma_20,M,1/25/00,815,455,1,2000,7/6/92,7.56,-0.98,0.96,Primiparous,young
Chacma_36,M,8/5/05,787,427,0,2005,1/1/98,7.6,-0.97,0.94,Primiparous,young
Chacma_7,F,9/14/92,818,458,1,1992,2/1/85,7.62,-0.96,0.93,Primiparous,young
Chacma_37,M,7/1/02,781,421,1,2002,9/29/94,7.76,-0.93,0.86,Multiparous,young
Chacma_21,M,9/5/95,1057,697,1,1995,12/1/87,7.77,-0.92,0.85,Multiparous,young
Chacma_30,F,11/24/95,733,373,1,1995,2/1/88,7.82,-0.91,0.83,Multiparous,young
Chacma_25,F,9/9/02,1056,696,1,2002,10/23/94,7.88,-0.89,0.8,Primiparous,young
Chacma_12,F,10/23/94,645,285,1,1994,10/1/86,8.07,-0.84,0.71,Multiparous,young
Chacma_26,M,11/8/00,742,382,1,2000,9/14/92,8.16,-0.82,0.66,Multiparous,young
Chacma_33,M,12/26/97,730,370,1,1997,11/1/89,8.16,-0.82,0.66,Multiparous,young
Chacma_14,F,10/22/97,665,305,1,1997,8/1/89,8.23,-0.8,0.63,Multiparous,young
Chacma_2,M,11/23/95,811,451,1,1995,7/1/87,8.4,-0.75,0.56,Multiparous,young
Chacma_9,F,2/18/05,710,350,1,2005,9/17/96,8.43,-0.74,0.55,Primiparous,young
Chacma_22,F,4/12/04,448,88,0,2004,9/1/95,8.62,-0.69,0.47,Multiparous,young
Chacma_41,M,11/19/97,606,246,1,1997,4/1/89,8.64,-0.68,0.47,Multiparous,young
Chacma_11,M,11/1/00,677,317,0,2000,1/4/92,8.83,-0.63,0.4,Multiparous,young
Chacma_35,M,11/16/04,507,147,0,2004,12/20/95,8.92,-0.61,0.37,Multiparous,young
Chacma_18,F,8/26/95,743,383,1,1995,8/1/86,9.07,-0.56,0.32,Multiparous,mid
Chacma_17,M,11/20/94,672,312,1,1994,9/22/85,9.17,-0.54,0.29,Multiparous,mid
Chacma_23,F,4/25/05,609,249,1,2005,1/3/96,9.32,-0.5,0.25,Multiparous,mid
Chacma_5,F,10/9/96,657,297,1,1996,3/1/87,9.62,-0.41,0.17,Multiparous,mid
Chacma_24,F,7/7/02,756,396,1,2002,11/1/92,9.68,-0.4,0.16,Multiparous,mid
Chacma_39,F,11/9/97,658,298,1,1997,2/1/88,9.78,-0.37,0.14,Multiparous,mid
Chacma_20,M,4/19/02,387,27,0,2002,7/6/92,9.79,-0.37,0.13,Multiparous,mid
Chacma_30,F,11/26/97,678,318,1,1997,2/1/88,9.82,-0.36,0.13,Multiparous,mid
Chacma_12,F,7/29/96,881,521,1,1996,10/1/86,9.83,-0.36,0.13,Multiparous,mid
Chacma_28,F,10/7/98,786,426,1,1998,12/1/88,9.85,-0.35,0.12,Multiparous,mid
Chacma_29,M,6/6/92,679,319,1,1992,8/1/82,9.85,-0.35,0.12,Multiparous,mid
Chacma_7,F,12/11/94,646,286,1,1994,2/1/85,9.86,-0.35,0.12,Multiparous,mid
Chacma_19,F,10/31/95,793,433,1,1995,11/1/85,10,-0.31,0.1,Multiparous,mid
Chacma_33,M,12/26/99,718,358,1,1999,11/1/89,10.16,-0.26,0.07,Multiparous,mid
Chacma_26,F,11/20/02,671,311,0,2002,9/14/92,10.19,-0.26,0.07,Multiparous,mid
Chacma_41,F,7/18/99,599,239,1,1999,4/1/89,10.3,-0.23,0.05,Multiparous,mid
Chacma_16,F,9/1/95,706,346,0,1995,4/1/85,10.42,-0.19,0.04,Multiparous,mid
Chacma_40,F,5/16/06,503,143,0,2006,11/24/95,10.48,-0.18,0.03,Multiparous,mid
Chacma_21,M,7/28/98,804,444,1,1998,12/1/87,10.66,-0.13,0.02,Multiparous,mid
Chacma_25,F,7/31/05,820,460,1,2005,10/23/94,10.78,-0.09,0.01,Multiparous,mid
Chacma_17,M,9/22/96,740,380,1,1996,9/22/85,11.01,-0.03,0,Multiparous,mid
Chacma_18,F,9/7/97,737,377,1,1997,8/1/86,11.11,0,0,Multiparous,mid
Chacma_14,F,11/10/00,645,285,1,2000,8/1/89,11.28,0.04,0,Multiparous,mid
Chacma_38,M,8/7/92,724,364,1,1992,4/1/81,11.36,0.07,0,Multiparous,mid
Chacma_27,M,10/16/00,655,295,1,2000,6/1/89,11.38,0.07,0.01,Multiparous,mid
Chacma_39,F,8/29/99,761,401,1,1999,2/1/88,11.58,0.13,0.02,Multiparous,mid
Chacma_7,F,9/17/96,831,471,1,1996,2/1/85,11.63,0.14,0.02,Multiparous,mid
Chacma_30,F,10/5/99,606,246,1,1999,2/1/88,11.68,0.15,0.02,Multiparous,mid
Chacma_29,F,4/16/94,508,148,1,1994,8/1/82,11.72,0.16,0.03,Multiparous,mid
Chacma_24,M,8/1/04,661,301,1,2004,11/1/92,11.76,0.18,0.03,Multiparous,mid
Chacma_41,M,3/8/01,413,53,1,2001,4/1/89,11.94,0.23,0.05,Multiparous,mid
Chacma_2,F,7/2/99,583,223,0,1999,7/1/87,12.01,0.24,0.06,Multiparous,old
Chacma_28,F,12/1/00,577,217,1,2000,12/1/88,12.01,0.24,0.06,Multiparous,old
Chacma_19,F,1/1/98,554,194,0,1998,11/1/85,12.18,0.29,0.08,Multiparous,old
Chacma_12,M,12/27/98,663,303,1,1998,10/1/86,12.25,0.31,0.1,Multiparous,old
Chacma_21,F,10/9/00,646,286,1,2000,12/1/87,12.87,0.48,0.23,Multiparous,old
Chacma_14,F,8/17/02,548,188,0,2002,8/1/89,13.05,0.53,0.28,Multiparous,old
Chacma_41,F,4/25/02,521,161,1,2002,4/1/89,13.07,0.54,0.29,Multiparous,old
Chacma_29,F,9/6/95,361,1,1,1995,8/1/82,13.11,0.55,0.3,Multiparous,old
Chacma_18,M,9/14/99,619,259,1,1999,8/1/86,13.13,0.55,0.31,Multiparous,old
Chacma_27,F,8/2/02,700,340,1,2002,6/1/89,13.18,0.57,0.32,Multiparous,old
Chacma_30,F,6/2/01,779,419,1,2001,2/1/88,13.34,0.61,0.37,Multiparous,old
Chacma_34,F,2/8/92,548,188,1,1992,9/1/78,13.45,0.64,0.41,Multiparous,old
Chacma_24,M,5/24/06,526,166,0,2006,11/1/92,13.57,0.67,0.45,Multiparous,old
Chacma_28,M,7/1/02,687,327,1,2002,12/1/88,13.59,0.68,0.46,Multiparous,old
Chacma_31,F,6/30/92,848,488,1,1992,11/1/78,13.67,0.7,0.49,Multiparous,old
Chacma_39,M,9/28/01,1007,647,1,2001,2/1/88,13.67,0.7,0.49,Multiparous,old
Chacma_7,F,12/27/98,667,307,1,1998,2/1/85,13.91,0.77,0.59,Multiparous,old
Chacma_12,M,10/20/00,781,421,1,2000,10/1/86,14.06,0.81,0.65,Multiparous,old
Chacma_17,F,10/24/99,773,413,1,1999,9/22/85,14.1,0.82,0.67,Multiparous,old
Chacma_29,M,9/1/96,1084,724,1,1996,8/1/82,14.1,0.82,0.67,Multiparous,old
Chacma_38,F,9/22/95,869,509,1,1995,4/1/81,14.48,0.92,0.85,Multiparous,old
Chacma_41,M,9/28/03,626,266,1,2003,4/1/89,14.5,0.93,0.86,Multiparous,old
Chacma_5,M,9/25/01,810,450,1,2001,3/1/87,14.58,0.95,0.91,Multiparous,old
Chacma_18,F,5/25/01,759,399,1,2001,8/1/86,14.82,1.02,1.04,Multiparous,old
Chacma_27,F,7/2/04,663,303,1,2004,6/1/89,15.1,1.09,1.2,Multiparous,old
Chacma_7,F,10/24/00,671,311,1,2000,2/1/85,15.74,1.27,1.62,Multiparous,old
Chacma_34,F,9/29/94,651,291,1,1994,9/1/78,16.09,1.37,1.87,Multiparous,old
Chacma_28,M,4/25/05,652,292,1,2005,12/1/88,16.41,1.46,2.12,Multiparous,old
Chacma_15,F,11/1/92,477,117,0,1992,3/1/76,16.68,1.53,2.34,Multiparous,old
Chacma_5,M,12/14/03,391,31,0,2003,3/1/87,16.8,1.56,2.44,Multiparous,old
Chacma_38,M,2/7/98,944,584,1,1998,4/1/81,16.87,1.58,2.5,Multiparous,old
Chacma_27,M,4/26/06,523,163,0,2006,6/1/89,16.91,1.59,2.54,Multiparous,old
Chacma_32,M,10/14/95,785,425,1,1995,7/1/78,17.3,1.7,2.89,Multiparous,old
Chacma_3,F,12/20/95,897,537,0,1995,8/1/78,17.4,1.73,2.99,Multiparous,old
Chacma_39,F,8/16/05,777,417,1,2005,2/1/88,17.55,1.77,3.13,Multiparous,old
Chacma_34,F,7/11/96,741,381,1,1996,9/1/78,17.87,1.86,3.45,Multiparous,old
Chacma_32,F,12/7/97,701,341,1,1997,7/1/78,19.45,2.29,5.25,Multiparous,old