mom.id,infant.sex,infant.dob,died,inf.age.out,mos,year,mom.dob,mom.age,mom.z,mom.z.2,cause,parity,age.cat
Chacma_57,F,11/5/07,0,0.07,11,2007,4/25/02,5.53,-1.46,2.13,Censored,Primiparous,young
Chacma_44,F,8/10/05,1,0.1,8,2005,10/24/99,5.8,-1.391,1.935,Infanticide,Primiparous,young
Chacma_5,M,1/3/93,0,1,1,1993,3/1/87,5.85,-1.378,1.9,Survived,Primiparous,young
Chacma_18,M,6/18/92,0,1,6,1992,8/1/86,5.88,-1.371,1.879,Survived,Primiparous,young
Chacma_23,M,2/2/02,0,1,2,2002,1/3/96,6.08,-1.32,1.743,Survived,Primiparous,young
Chacma_2,M,8/2/93,0,1,8,1993,7/1/87,6.09,-1.318,1.736,Survived,Primiparous,young
Chacma_55,M,12/6/06,1,0.01,12,2006,10/9/00,6.16,-1.3,1.69,Injury or illness,Primiparous,young
Chacma_54,F,11/14/01,1,0.42,11,2001,9/6/95,6.19,-1.292,1.67,Maternal death,Primiparous,young
Chacma_1,M,9/12/05,0,1,9,2005,7/2/99,6.2,-1.29,1.664,Survived,Primiparous,young
Chacma_19,M,2/8/92,0,1,2,1992,11/1/85,6.27,-1.272,1.618,Survived,Primiparous,young
Chacma_22,F,12/7/01,0,1,12,2001,9/1/95,6.27,-1.272,1.618,Survived,Primiparous,young
Chacma_52,M,4/5/07,0,0.66,4,2007,12/1/00,6.34,-1.254,1.573,Censored,Primiparous,young
Chacma_45,F,7/27/98,1,0.02,7,1998,2/8/92,6.46,-1.224,1.498,Unknown,Primiparous,young
Chacma_30,M,7/21/94,1,0.15,7,1994,2/1/88,6.47,-1.221,1.492,Infanticide,Primiparous,young
Chacma_10,F,7/6/92,0,1,7,1992,1/1/86,6.51,-1.211,1.467,Survived,Primiparous,young
Chacma_14,M,2/2/96,0,1,2,1996,8/1/89,6.51,-1.211,1.467,Survived,Primiparous,young
Chacma_33,M,6/3/96,1,0.51,6,1996,11/1/89,6.59,-1.191,1.418,Unknown,Primiparous,young
Chacma_58,F,5/4/06,1,0.36,5,2006,9/12/99,6.64,-1.178,1.388,Injury or illness,Primiparous,young
Chacma_27,F,1/31/96,0,1,1,1996,6/1/89,6.67,-1.171,1.371,Survived,Primiparous,young
Chacma_37,M,6/10/01,1,0.22,6,2001,9/29/94,6.7,-1.163,1.353,Unknown,Primiparous,young
Chacma_24,M,8/1/99,0,1,8,1999,11/1/92,6.75,-1.15,1.323,Survived,Primiparous,young
Chacma_41,F,1/3/96,0,1,1,1996,4/1/89,6.76,-1.148,1.318,Survived,Primiparous,young
Chacma_44,F,8/2/06,1,0.8,8,2006,10/24/99,6.77,-1.145,1.312,Unknown,Primiparous,young
Chacma_42,F,7/27/03,1,0.12,7,2003,10/9/96,6.8,-1.138,1.295,Infanticide,Primiparous,young
Chacma_21,M,10/18/94,1,0.01,10,1994,12/1/87,6.88,-1.117,1.249,Infanticide,Primiparous,young
Chacma_26,M,8/3/99,1,0.001,8,1999,9/14/92,6.88,-1.117,1.249,Injury or illness,Primiparous,young
Chacma_12,M,8/26/93,1,0.001,8,1993,10/1/86,6.9,-1.112,1.237,Infanticide,Primiparous,young
Chacma_35,M,11/14/02,1,0.38,11,2002,12/20/95,6.9,-1.112,1.237,Injury or illness,Primiparous,young
Chacma_6,M,11/21/05,0,1,11,2005,12/27/98,6.9,-1.112,1.237,Survived,Primiparous,young
Chacma_17,U,8/19/92,1,0.001,8,1992,9/22/85,6.91,-1.11,1.232,Unknown,Primiparous,young
Chacma_8,M,11/22/01,0,1,11,2001,12/11/94,6.95,-1.1,1.209,Survived,Primiparous,young
Chacma_4,M,9/27/05,0,1,9,2005,10/7/98,6.97,-1.095,1.198,Survived,Primiparous,young
Chacma_43,M,10/23/06,1,0.4,10,2006,10/5/99,7.05,-1.074,1.154,Infanticide,Primiparous,young
Chacma_46,F,9/28/04,1,0.59,9,2004,9/7/97,7.06,-1.072,1.149,Unknown,Primiparous,young
Chacma_55,M,11/4/07,0,0.07,11,2007,10/9/00,7.07,-1.069,1.144,Censored,Multiparous,young
Chacma_28,M,1/6/96,0,1,1,1996,12/1/88,7.1,-1.062,1.127,Survived,Primiparous,young
Chacma_13,F,9/12/99,0,1,9,1999,6/30/92,7.2,-1.036,1.074,Survived,Primiparous,young
Chacma_39,F,7/6/95,0,1,7,1995,2/1/88,7.43,-0.978,0.957,Survived,Primiparous,young
Chacma_11,M,7/15/99,1,0.17,7,1999,1/4/92,7.53,-0.953,0.908,Infanticide,Primiparous,young
Chacma_20,M,1/25/00,0,1,1,2000,7/6/92,7.55,-0.948,0.898,Survived,Primiparous,young
Chacma_36,M,8/5/05,0,1,8,2005,1/1/98,7.59,-0.938,0.879,Survived,Primiparous,young
Chacma_7,F,9/14/92,0,1,9,1992,2/1/85,7.62,-0.93,0.865,Survived,Primiparous,young
Chacma_17,M,6/15/93,1,0.22,6,1993,9/22/85,7.73,-0.902,0.814,Injury or illness,Multiparous,young
Chacma_37,M,7/1/02,0,1,7,2002,9/29/94,7.75,-0.897,0.805,Survived,Multiparous,young
Chacma_21,M,9/5/95,0,1,9,1995,12/1/87,7.76,-0.895,0.8,Survived,Multiparous,young
Chacma_30,F,11/24/95,0,1,11,1995,2/1/88,7.81,-0.882,0.778,Survived,Multiparous,young
Chacma_50,M,2/12/96,1,0.52,2,1996,4/1/88,7.87,-0.867,0.751,Infanticide,Primiparous,young
Chacma_25,F,9/9/02,0,1,9,2002,10/23/94,7.88,-0.864,0.747,Survived,Primiparous,young
Chacma_18,F,6/29/94,1,0.21,6,1994,8/1/86,7.91,-0.857,0.734,Infanticide,Multiparous,young
Chacma_12,F,10/23/94,0,1,10,1994,10/1/86,8.06,-0.819,0.67,Survived,Multiparous,young
Chacma_58,F,10/15/07,0,0.13,10,2007,9/12/99,8.09,-0.811,0.658,Censored,Multiparous,young
Chacma_33,M,12/26/97,0,1,12,1997,11/1/89,8.15,-0.796,0.633,Survived,Multiparous,young
Chacma_26,M,11/8/00,0,1,11,2000,9/14/92,8.15,-0.796,0.633,Survived,Multiparous,young
Chacma_1,M,9/18/07,0,0.2,9,2007,7/2/99,8.21,-0.781,0.609,Censored,Multiparous,young
Chacma_14,F,10/22/97,0,1,10,1997,8/1/89,8.22,-0.778,0.605,Survived,Multiparous,young
Chacma_49,F,10/5/03,1,0.65,10,2003,7/6/95,8.25,-0.77,0.593,Unknown,Primiparous,young
Chacma_23,F,4/20/04,1,0.26,4,2004,1/3/96,8.3,-0.758,0.574,Infanticide,Multiparous,young
Chacma_16,F,8/16/93,1,1,8,1993,4/1/85,8.38,-0.737,0.544,Unknown,Multiparous,young
Chacma_40,F,4/15/04,1,0.27,4,2004,11/24/95,8.39,-0.735,0.54,Infanticide,Primiparous,young
Chacma_2,M,11/23/95,0,1,11,1995,7/1/87,8.4,-0.732,0.536,Survived,Multiparous,young
Chacma_9,F,2/18/05,0,1,2,2005,9/17/96,8.42,-0.727,0.529,Survived,Primiparous,young
Chacma_46,M,2/28/06,1,0.5,2,2006,9/7/97,8.48,-0.712,0.507,Infanticide,Multiparous,young
Chacma_22,F,4/12/04,0,1,4,2004,9/1/95,8.61,-0.679,0.461,Survived,Multiparous,mid
Chacma_41,M,11/19/97,0,1,11,1997,4/1/89,8.64,-0.672,0.451,Survived,Multiparous,mid
Chacma_27,F,2/11/98,1,0.89,2,1998,6/1/89,8.7,-0.656,0.431,Unknown,Multiparous,mid
Chacma_19,F,7/20/94,1,0.16,7,1994,11/1/85,8.71,-0.654,0.427,Infanticide,Multiparous,mid
Chacma_11,M,11/1/00,0,1,11,2000,1/4/92,8.83,-0.623,0.389,Survived,Multiparous,mid
Chacma_4,M,8/7/07,0,0.32,8,2007,10/7/98,8.83,-0.623,0.389,Censored,Multiparous,mid
Chacma_24,F,9/9/01,1,0.04,9,2001,11/1/92,8.85,-0.618,0.382,Unknown,Multiparous,mid
Chacma_5,M,1/8/96,1,0.001,1,1996,3/1/87,8.86,-0.616,0.379,Unknown,Multiparous,mid
Chacma_28,M,10/15/97,1,0.08,10,1997,12/1/88,8.87,-0.613,0.376,Injury or illness,Multiparous,mid
Chacma_35,M,11/16/04,0,1,11,2004,12/20/95,8.91,-0.603,0.364,Survived,Multiparous,mid
Chacma_18,F,8/26/95,0,1,8,1995,8/1/86,9.07,-0.563,0.317,Survived,Multiparous,mid
Chacma_17,M,11/20/94,0,1,11,1994,9/22/85,9.16,-0.54,0.291,Survived,Multiparous,mid
Chacma_48,F,2/2/07,1,0.001,2,2007,11/9/97,9.23,-0.522,0.273,Injury or illness,Primiparous,mid
Chacma_23,F,4/25/05,0,1,4,2005,1/3/96,9.31,-0.502,0.252,Survived,Multiparous,mid
Chacma_5,F,10/9/96,0,1,10,1996,3/1/87,9.61,-0.426,0.181,Survived,Multiparous,mid
Chacma_40,F,7/22/05,1,0.03,7,2005,11/24/95,9.66,-0.413,0.171,Infanticide,Multiparous,mid
Chacma_24,F,7/7/02,0,1,7,2002,11/1/92,9.68,-0.408,0.167,Survived,Multiparous,mid
Chacma_39,F,11/9/97,0,1,11,1997,2/1/88,9.77,-0.385,0.148,Survived,Multiparous,mid
Chacma_20,M,4/19/02,0,1,4,2002,7/6/92,9.79,-0.38,0.145,Survived,Multiparous,mid
Chacma_30,F,11/26/97,0,1,11,1997,2/1/88,9.82,-0.373,0.139,Survived,Multiparous,mid
Chacma_12,F,7/29/96,0,1,7,1996,10/1/86,9.83,-0.37,0.137,Survived,Multiparous,mid
Chacma_29,M,6/6/92,0,1,6,1992,8/1/82,9.85,-0.365,0.133,Survived,Multiparous,mid
Chacma_28,F,10/7/98,0,1,10,1998,12/1/88,9.85,-0.365,0.133,Survived,Multiparous,mid
Chacma_7,F,12/11/94,0,1,12,1994,2/1/85,9.86,-0.362,0.131,Survived,Multiparous,mid
Chacma_37,U,8/20/04,1,0.001,8,2004,9/29/94,9.89,-0.355,0.126,Unknown,Multiparous,mid
Chacma_19,F,10/31/95,0,1,10,1995,11/1/85,10,-0.327,0.107,Survived,Multiparous,mid
Chacma_14,F,8/18/99,1,0.52,8,1999,8/1/89,10.05,-0.314,0.099,Infanticide,Multiparous,mid
Chacma_49,F,7/25/05,1,0.19,7,2005,7/6/95,10.05,-0.314,0.099,Maternal death,Multiparous,mid
Chacma_33,M,12/26/99,0,1,12,1999,11/1/89,10.15,-0.289,0.084,Survived,Multiparous,mid
Chacma_47,F,1/4/92,0,1,1,1992,11/1/81,10.17,-0.284,0.081,Survived,Multiparous,mid
Chacma_26,F,11/20/02,0,1,11,2002,9/14/92,10.18,-0.281,0.079,Survived,Multiparous,mid
Chacma_41,F,7/18/99,0,1,7,1999,4/1/89,10.29,-0.254,0.064,Survived,Multiparous,mid
Chacma_9,F,1/29/07,0,0.84,1,2007,9/17/96,10.37,-0.233,0.054,Censored,Multiparous,mid
Chacma_16,F,9/1/95,0,1,9,1995,4/1/85,10.42,-0.221,0.049,Survived,Multiparous,mid
Chacma_40,F,5/16/06,0,1,5,2006,11/24/95,10.48,-0.205,0.042,Survived,Multiparous,mid
Chacma_27,F,12/1/99,1,0.08,12,1999,6/1/89,10.5,-0.2,0.04,Infanticide,Multiparous,mid
Chacma_2,F,2/11/98,1,0.4,2,1998,7/1/87,10.62,-0.17,0.029,Unknown,Multiparous,mid
Chacma_21,M,7/28/98,0,1,7,1998,12/1/87,10.66,-0.16,0.026,Survived,Multiparous,mid
Chacma_37,M,6/25/05,1,0.19,6,2005,9/29/94,10.74,-0.139,0.019,Injury or illness,Multiparous,mid
Chacma_25,F,7/31/05,0,1,7,2005,10/23/94,10.77,-0.132,0.017,Survived,Multiparous,mid
Chacma_23,F,12/25/06,0,0.93,12,2006,1/3/96,10.98,-0.079,0.006,Censored,Multiparous,mid
Chacma_17,M,9/22/96,0,1,9,1996,9/22/85,11,-0.074,0.005,Survived,Multiparous,mid
Chacma_18,F,9/7/97,0,1,9,1997,8/1/86,11.1,-0.048,0.002,Survived,Multiparous,mid
Chacma_14,F,11/10/00,0,1,11,2000,8/1/89,11.28,-0.003,0,Survived,Multiparous,mid
Chacma_38,M,8/7/92,0,1,8,1992,4/1/81,11.35,0.015,0,Survived,Multiparous,mid
Chacma_27,M,10/16/00,0,1,10,2000,6/1/89,11.38,0.023,0.001,Survived,Multiparous,mid
Chacma_5,F,7/28/98,1,0.95,7,1998,3/1/87,11.41,0.03,0.001,Injury or illness,Multiparous,mid
Chacma_39,F,8/29/99,0,1,8,1999,2/1/88,11.57,0.071,0.005,Survived,Multiparous,mid
Chacma_7,F,9/17/96,0,1,9,1996,2/1/85,11.62,0.083,0.007,Survived,Multiparous,mid
Chacma_30,F,10/5/99,0,1,10,1999,2/1/88,11.67,0.096,0.009,Survived,Multiparous,mid
Chacma_37,M,6/6/06,1,0.26,6,2006,9/29/94,11.69,0.101,0.01,Injury or illness,Multiparous,mid
Chacma_29,F,4/16/94,0,1,4,1994,8/1/82,11.71,0.106,0.011,Survived,Multiparous,mid
Chacma_24,M,8/1/04,0,1,8,2004,11/1/92,11.75,0.116,0.014,Survived,Multiparous,mid
Chacma_41,M,3/8/01,0,1,3,2001,4/1/89,11.93,0.162,0.026,Survived,Multiparous,mid
Chacma_2,F,7/2/99,0,1,7,1999,7/1/87,12,0.18,0.032,Survived,Multiparous,mid
Chacma_28,F,12/1/00,0,1,12,2000,12/1/88,12,0.18,0.032,Survived,Multiparous,mid
Chacma_33,F,12/13/01,0,1,12,2001,11/1/89,12.11,0.208,0.043,Survived,Multiparous,mid
Chacma_19,F,1/1/98,0,1,1,1998,11/1/85,12.17,0.223,0.05,Survived,Multiparous,mid
Chacma_12,M,12/27/98,0,1,12,1998,10/1/86,12.24,0.241,0.058,Survived,Multiparous,mid
Chacma_21,F,10/9/00,0,1,10,2000,12/1/87,12.86,0.398,0.158,Survived,Multiparous,mid
Chacma_25,M,10/29/07,0,0.09,10,2007,10/23/94,13.02,0.438,0.192,Censored,Multiparous,old
Chacma_17,M,10/2/98,1,0.28,10,1998,9/22/85,13.03,0.441,0.194,Unknown,Multiparous,old
Chacma_14,F,8/17/02,0,1,8,2002,8/1/89,13.04,0.443,0.196,Survived,Multiparous,old
Chacma_5,M,3/23/00,1,0.96,3,2000,3/1/87,13.06,0.448,0.201,Unknown,Multiparous,old
Chacma_41,F,4/25/02,0,1,4,2002,4/1/89,13.07,0.451,0.203,Survived,Multiparous,old
Chacma_29,F,9/6/95,0,1,9,1995,8/1/82,13.1,0.458,0.21,Survived,Multiparous,old
Chacma_18,M,9/14/99,0,1,9,1999,8/1/86,13.12,0.464,0.215,Survived,Multiparous,old
Chacma_27,F,8/2/02,0,1,8,2002,6/1/89,13.17,0.476,0.227,Survived,Multiparous,old
Chacma_38,M,8/1/94,1,0.01,8,1994,4/1/81,13.33,0.517,0.267,Infanticide,Multiparous,old
Chacma_30,F,6/2/01,0,1,6,2001,2/1/88,13.33,0.517,0.267,Survived,Multiparous,old
Chacma_34,F,2/8/92,0,1,2,1992,9/1/78,13.44,0.545,0.297,Survived,Multiparous,old
Chacma_24,M,5/24/06,0,1,5,2006,11/1/92,13.56,0.575,0.331,Survived,Multiparous,old
Chacma_28,M,7/1/02,0,1,7,2002,12/1/88,13.58,0.58,0.336,Survived,Multiparous,old
Chacma_31,F,6/30/92,0,1,6,1992,11/1/78,13.66,0.6,0.36,Survived,Multiparous,old
Chacma_39,M,9/28/01,0,1,9,2001,2/1/88,13.66,0.6,0.36,Survived,Multiparous,old
Chacma_51,M,10/19/92,1,0.31,10,1992,1/1/79,13.8,0.636,0.404,Infanticide,Multiparous,old
Chacma_7,F,12/27/98,0,1,12,1998,2/1/85,13.9,0.661,0.437,Survived,Multiparous,old
Chacma_12,M,10/20/00,0,1,10,2000,10/1/86,14.05,0.699,0.489,Survived,Multiparous,old
Chacma_29,M,9/1/96,0,1,9,1996,8/1/82,14.09,0.709,0.503,Survived,Multiparous,old
Chacma_17,F,10/24/99,0,1,10,1999,9/22/85,14.09,0.709,0.503,Survived,Multiparous,old
Chacma_32,F,8/21/92,1,0.19,8,1992,7/1/78,14.14,0.722,0.521,Infanticide,Multiparous,old
Chacma_3,M,11/6/92,1,0.7,11,1992,8/1/78,14.27,0.755,0.57,Unknown,Multiparous,old
Chacma_38,F,9/22/95,0,1,9,1995,4/1/81,14.48,0.808,0.653,Survived,Multiparous,old
Chacma_41,M,9/28/03,0,1,9,2003,4/1/89,14.49,0.811,0.657,Survived,Multiparous,old
Chacma_5,M,9/25/01,0,1,9,2001,3/1/87,14.57,0.831,0.69,Survived,Multiparous,old
Chacma_21,F,7/17/02,1,0.89,7,2002,12/1/87,14.63,0.846,0.716,Maternal death,Multiparous,old
Chacma_51,M,9/27/93,1,0.97,9,1993,1/1/79,14.74,0.874,0.764,Infanticide,Multiparous,old
Chacma_18,F,5/25/01,0,1,5,2001,8/1/86,14.81,0.892,0.795,Survived,Multiparous,old
Chacma_34,F,8/9/93,1,0.13,8,1993,9/1/78,14.94,0.925,0.855,Injury or illness,Multiparous,old
Chacma_32,M,7/7/93,1,0.18,7,1993,7/1/78,15.02,0.945,0.893,Injury or illness,Multiparous,old
Chacma_27,F,7/2/04,0,1,7,2004,6/1/89,15.09,0.963,0.927,Survived,Multiparous,old
Chacma_28,M,5/18/04,1,0.23,5,2004,12/1/88,15.46,1.056,1.116,Infanticide,Multiparous,old
Chacma_30,F,7/21/03,1,0.14,7,2003,2/1/88,15.47,1.059,1.121,Injury or illness,Multiparous,old
Chacma_7,F,10/24/00,0,1,10,2000,2/1/85,15.73,1.125,1.265,Survived,Multiparous,old
Chacma_3,M,6/2/94,1,0.36,6,1994,8/1/78,15.84,1.153,1.329,Infanticide,Multiparous,old
Chacma_31,F,10/26/94,1,0.001,10,1994,11/1/78,15.98,1.188,1.412,Injury or illness,Multiparous,old
Chacma_32,F,7/3/94,1,0.38,7,1994,7/1/78,16.01,1.196,1.43,Infanticide,Multiparous,old
Chacma_34,F,9/29/94,0,1,9,1994,9/1/78,16.08,1.213,1.473,Survived,Multiparous,old
Chacma_12,M,12/10/02,0,1,12,2002,10/1/86,16.19,1.241,1.541,Survived,Multiparous,old
Chacma_17,M,12/5/01,1,0.79,12,2001,9/22/85,16.2,1.244,1.547,Maternal death,Multiparous,old
Chacma_41,F,6/15/05,1,0.11,6,2005,4/1/89,16.21,1.246,1.554,Infanticide,Multiparous,old
Chacma_28,M,4/25/05,0,1,4,2005,12/1/88,16.4,1.295,1.676,Survived,Multiparous,old
Chacma_39,M,7/1/04,1,0.27,7,2004,2/1/88,16.41,1.297,1.682,Infanticide,Multiparous,old
Chacma_30,F,9/26/04,0,1,9,2004,2/1/88,16.65,1.358,1.844,Survived,Multiparous,old
Chacma_15,F,11/1/92,0,1,11,1992,3/1/76,16.67,1.363,1.858,Survived,Multiparous,old
Chacma_51,M,10/10/95,1,0.12,10,1995,1/1/79,16.77,1.388,1.927,Maternal death,Multiparous,old
Chacma_5,M,12/14/03,0,1,12,2003,3/1/87,16.79,1.393,1.941,Survived,Multiparous,old
Chacma_38,M,2/7/98,0,1,2,1998,4/1/81,16.85,1.409,1.984,Survived,Multiparous,old
Chacma_18,F,6/23/03,1,0.17,6,2003,8/1/86,16.89,1.419,2.013,Injury or illness,Multiparous,old
Chacma_27,M,4/26/06,0,1,4,2006,6/1/89,16.9,1.421,2.02,Survived,Multiparous,old
Chacma_29,M,8/21/99,1,0.72,8,1999,8/1/82,17.05,1.459,2.129,Infanticide,Multiparous,old
Chacma_41,F,5/28/06,1,0.72,5,2006,4/1/89,17.16,1.487,2.212,Infanticide,Multiparous,old
Chacma_32,M,10/14/95,0,1,10,1995,7/1/78,17.29,1.52,2.311,Survived,Multiparous,old
Chacma_3,F,12/20/95,0,1,12,1995,8/1/78,17.39,1.545,2.388,Survived,Multiparous,old
Chacma_31,M,4/4/96,1,0.15,4,1996,11/1/78,17.42,1.553,2.412,Injury or illness,Multiparous,old
Chacma_39,F,8/16/05,0,1,8,2005,2/1/88,17.54,1.583,2.507,Survived,Multiparous,old
Chacma_7,M,8/26/02,1,0.02,8,2002,2/1/85,17.56,1.588,2.523,Maternal death,Multiparous,old
Chacma_18,M,6/3/04,1,0.11,6,2004,8/1/86,17.84,1.659,2.754,Maternal death,Multiparous,old
Chacma_34,F,7/11/96,0,1,7,1996,9/1/78,17.86,1.664,2.77,Survived,Multiparous,old
Chacma_28,F,2/6/07,0,0.82,2,2007,12/1/88,18.18,1.746,3.047,Censored,Multiparous,old
Chacma_41,M,8/23/07,0,0.27,8,2007,4/1/89,18.39,1.799,3.236,Censored,Multiparous,old
Chacma_29,F,6/5/01,1,0.18,6,2001,8/1/82,18.84,1.913,3.659,Infanticide,Multiparous,old
Chacma_32,F,12/7/97,0,1,12,1997,7/1/78,19.44,2.065,4.263,Survived,Multiparous,old
Chacma_38,F,9/8/00,1,0.85,9,2000,4/1/81,19.44,2.065,4.263,Maternal death,Multiparous,old
Chacma_53,M,2/13/94,1,0.54,2,1994,9/1/74,19.45,2.067,4.274,Maternal death,Multiparous,old
Chacma_39,F,10/2/07,0,0.16,10,2007,2/1/88,19.67,2.123,4.507,Censored,Multiparous,old
Chacma_34,F,7/22/98,0,1,7,1998,9/1/78,19.89,2.179,4.747,Survived,Multiparous,old
Chacma_56,F,8/31/93,1,0.14,8,1993,3/1/73,20.5,2.333,5.445,Unknown,Multiparous,old
Chacma_32,M,11/8/99,1,0.01,11,1999,7/1/78,21.36,2.551,6.509,Injury or illness,Multiparous,old