mom.id,unit,infant.sex,infant.dob,died,inf.age.out,mos,year,mom.dob,mom.age,mom.z,mom.z.2,cause,age.cat
Gelada_31,C3,M,3/17/13,1,0.5,3,2013,7/28/06,6.64,-1.12,1.25,Infanticide,young
Gelada_176,J,F,3/28/13,0,1,3,2013,5/1/01,11.91,0.24,0.06,Survived,mid
Gelada_29,D,F,4/1/13,0,1,4,2013,5/25/07,5.85,-1.32,1.74,Survived,young
Gelada_65,T,M,4/10/13,0,1,4,2013,10/1/03,9.52,-0.38,0.14,Survived,mid
Gelada_101,T,F,4/11/13,1,0.17,4,2013,6/16/98,14.82,0.98,0.97,Maternal death,old
Gelada_26,T,F,4/27/13,0,1,4,2013,6/4/02,10.9,-0.02,0.00,Survived,mid
Gelada_100,D,M,5/28/13,0,1,5,2013,5/1/97,16.07,1.30,1.70,Survived,old
Gelada_261,C1,F,6/1/13,0,1,6,2013,9/1/94,18.75,1.99,3.97,Survived,old
Gelada_205,G,F,6/13/13,0,1,6,2013,10/24/07,5.64,-1.37,1.89,Survived,young
Gelada_2,G,M,6/18/13,0,1,6,2013,7/23/02,10.9,-0.02,0.00,Survived,mid
Gelada_144,D,F,6/24/13,0,1,6,2013,1/27/03,10.41,-0.15,0.02,Survived,mid
Gelada_181,N,M,6/27/13,1,0.16,6,2013,12/18/06,6.52,-1.15,1.32,Injury or illness,young
Gelada_44,K,M,6/30/13,1,0.76,6,2013,3/11/07,6.31,-1.20,1.44,Infanticide,young
Gelada_42,G,M,7/14/13,0,1,7,2013,7/18/01,11.99,0.26,0.07,Survived,mid
Gelada_76,V,M,7/15/13,0,1,7,2013,3/11/07,6.35,-1.19,1.42,Survived,young
Gelada_143,T,U,7/16/13,1,0,7,2013,6/18/07,6.08,-1.26,1.59,Unknown,young
Gelada_150,T,M,8/13/13,0,1,8,2013,8/17/05,7.99,-0.77,0.59,Survived,young
Gelada_154,O,M,8/15/13,0,1,8,2013,5/10/07,6.27,-1.21,1.47,Survived,young
Gelada_70,T,F,8/18/13,0,1,8,2013,6/7/94,19.2,2.11,4.45,Survived,old
Gelada_40,G,M,8/30/13,0,1,8,2013,6/1/96,17.25,1.61,2.59,Survived,old
Gelada_332,O,F,9/10/13,0,1,9,2013,12/6/98,14.76,0.97,0.94,Survived,old
Gelada_333,T,M,9/19/13,0,1,9,2013,11/16/07,5.84,-1.32,1.75,Survived,young
Gelada_153,C1,M,9/26/13,0,1,9,2013,3/1/97,16.57,1.43,2.05,Survived,old
Gelada_116,A,M,9/29/13,0,1,9,2013,5/30/04,9.33,-0.43,0.18,Survived,mid
Gelada_25,M1,M,10/14/13,1,0.29,10,2013,9/9/98,15.1,1.06,1.11,Infanticide,old
Gelada_168,Z,M,10/17/13,1,0.23,10,2013,3/26/01,12.56,0.40,0.16,Unknown,mid
Gelada_165,C4,M,10/30/13,0,1,10,2013,2/17/04,9.7,-0.33,0.11,Survived,mid
Gelada_170,A,M,11/3/13,0,1,11,2013,2/16/08,5.71,-1.36,1.84,Survived,young
Gelada_46,Z,F,11/5/13,0,1,11,2013,1/1/97,16.84,1.50,2.26,Survived,old
Gelada_10,Z,F,11/15/13,0,1,11,2013,6/15/04,9.42,-0.40,0.16,Survived,mid
Gelada_52,M1,M,12/10/13,0,1,12,2013,2/24/04,9.79,-0.31,0.09,Survived,mid
Gelada_233,M1,F,12/10/13,0,1,12,2013,12/15/04,8.99,-0.51,0.26,Survived,young
Gelada_363,B1,M,12/21/13,0,1,12,2013,12/31/08,4.97,-1.55,2.39,Survived,young
Gelada_179,V,F,12/25/13,0,1,12,2013,12/1/01,12.07,0.28,0.08,Survived,mid
Gelada_17,M1,F,1/1/14,0,1,1,2014,6/6/97,16.57,1.43,2.05,Survived,old
Gelada_8,M2,M,1/25/14,0,1,1,2014,11/4/02,11.23,0.06,0.00,Survived,mid
Gelada_19,A,M,2/17/14,0,1,2,2014,11/3/03,10.29,-0.18,0.03,Survived,mid
Gelada_81,C4,M,2/21/14,0,1,2,2014,12/1/05,8.22,-0.71,0.51,Survived,young
Gelada_23,M1,F,2/25/14,0,1,2,2014,7/12/07,6.63,-1.12,1.25,Survived,young
Gelada_7,A,M,3/7/14,0,1,3,2014,10/12/01,12.4,0.36,0.13,Survived,mid
Gelada_37,M2,M,3/18/14,0,1,3,2014,8/25/97,16.56,1.43,2.05,Survived,old
Gelada_213,Q,M,4/30/14,0,1,4,2014,11/11/02,11.47,0.12,0.02,Survived,mid
Gelada_145,B1,F,5/25/14,0,1,5,2014,12/1/05,8.48,-0.64,0.42,Survived,young
Gelada_99,B1,F,6/1/14,1,0.91,6,2014,12/1/98,15.5,1.16,1.34,Unknown,old
Gelada_31,C3,F,6/13/14,0,1,6,2014,7/28/06,7.88,-0.80,0.64,Survived,young
Gelada_249,G,F,6/15/14,0,1,6,2014,10/24/07,6.64,-1.12,1.25,Survived,young
Gelada_143,T,M,7/7/14,0,1,7,2014,6/18/07,7.05,-1.01,1.02,Survived,young
Gelada_69,B1,F,7/13/14,0,1,7,2014,10/30/07,6.7,-1.10,1.21,Survived,young
Gelada_138,B1,M,7/19/14,1,0.62,7,2014,11/12/06,7.68,-0.85,0.72,Injury or illness,young
Gelada_71,T,M,8/2/14,1,0.01,8,2014,4/18/06,8.29,-0.69,0.48,Unknown,young
Gelada_219,N,M,8/14/14,1,0.36,8,2014,9/1/05,8.95,-0.52,0.27,Injury or illness,young
Gelada_130,M1,F,8/16/14,0,1,8,2014,2/1/09,5.54,-1.40,1.96,Survived,young
Gelada_24,M1,F,9/2/14,0,1,9,2014,1/1/98,16.67,1.46,2.13,Survived,old
Gelada_38,M2,M,9/9/14,0,1,9,2014,10/1/05,8.94,-0.53,0.28,Survived,young
Gelada_137,M2,F,9/10/14,0,1,9,2014,10/24/02,11.88,0.23,0.05,Survived,mid
Gelada_60,B1,F,9/14/14,0,1,9,2014,12/1/98,15.79,1.23,1.52,Survived,old
Gelada_132,V,F,9/17/14,0,1,9,2014,2/14/05,9.59,-0.36,0.13,Survived,mid
Gelada_25,M1,F,9/20/14,0,1,9,2014,9/9/98,16.03,1.29,1.68,Survived,old
Gelada_344,N,M,10/1/14,0,1,10,2014,6/1/05,9.33,-0.43,0.18,Survived,mid
Gelada_399,Q,M,10/1/14,1,0.57,10,2014,2/16/09,5.62,-1.38,1.90,Unknown,young
Gelada_5,B1,M,10/2/14,0,1,10,2014,12/15/04,9.8,-0.31,0.09,Survived,mid
Gelada_93,V,F,10/3/14,0,1,10,2014,2/1/99,15.67,1.20,1.45,Survived,old
Gelada_48,V,F,10/9/14,0,1,10,2014,2/14/05,9.65,-0.34,0.12,Survived,mid
Gelada_181,N,F,11/12/14,0,1,11,2014,12/18/06,7.9,-0.79,0.63,Survived,young
Gelada_152,N,M,11/12/14,0,1,11,2014,6/15/08,6.41,-1.18,1.38,Survived,young
Gelada_44,K,F,11/21/14,0,1,11,2014,3/11/07,7.7,-0.84,0.71,Survived,young
Gelada_183,V,F,11/30/14,0,1,11,2014,3/1/01,13.75,0.71,0.50,Survived,old
Gelada_27,M1,M,12/8/14,0,1,12,2014,12/15/04,9.98,-0.26,0.07,Survived,mid
Gelada_3,N,F,3/5/15,0,1,3,2015,9/1/99,15.51,1.16,1.35,Survived,old
Gelada_71,T,F,3/25/15,0,1,3,2015,4/18/06,8.93,-0.53,0.28,Survived,young
Gelada_168,Z3,F,5/28/15,0,1,5,2015,3/26/01,14.17,0.82,0.67,Survived,old
Gelada_291,V,M,6/21/15,0,1,6,2015,12/1/07,7.55,-0.88,0.78,Survived,young
Gelada_66,Z5,M,6/29/15,0,1,6,2015,6/7/95,20.06,2.33,5.43,Survived,old
Gelada_105,T,M,7/12/15,0,1,7,2015,8/5/09,5.93,-1.30,1.69,Survived,young
Gelada_26,T,M,7/19/15,0,1,7,2015,6/4/02,13.12,0.55,0.30,Survived,old
Gelada_219,N,M,7/30/15,0,1,7,2015,9/1/05,9.91,-0.28,0.08,Survived,mid
Gelada_118,T,M,9/1/15,0,1,9,2015,5/15/07,8.3,-0.69,0.48,Survived,young
Gelada_10,Z5,M,9/15/15,0,1,9,2015,6/15/04,11.25,0.07,0.00,Survived,mid
Gelada_174,Z3,F,9/20/15,0,1,9,2015,10/2/09,5.97,-1.29,1.66,Survived,young
Gelada_6,Z3,M,9/26/15,0,1,9,2015,7/2/07,8.24,-0.71,0.50,Survived,young
Gelada_231,J1,M,10/7/15,0,1,10,2015,7/1/03,12.27,0.33,0.11,Survived,mid
Gelada_125,K,M,10/11/15,0,1,10,2015,3/1/01,14.61,0.93,0.86,Survived,old
Gelada_205,G,M,10/14/15,0,1,10,2015,10/24/07,7.97,-0.78,0.60,Survived,young
Gelada_42,G,F,10/15/15,1,0.02,10,2015,7/18/01,14.24,0.83,0.70,Maternal death,old
Gelada_62,C3,F,10/15/15,0,1,10,2015,9/4/02,13.11,0.54,0.30,Survived,old
Gelada_138,B1,M,10/17/15,1,0.93,10,2015,11/12/06,8.93,-0.53,0.28,Injury or illness,young
Gelada_46,Z5,F,10/28/15,1,0.24,10,2015,1/1/97,18.82,2.01,4.04,Maternal death,old
Gelada_176,J1,F,11/1/15,0,1,11,2015,5/1/01,14.5,0.90,0.81,Survived,old
Gelada_360,A,F,11/11/15,0,1,11,2015,2/8/10,5.75,-1.35,1.81,Survived,young
Gelada_70,T,F,11/22/15,0,1,11,2015,6/7/94,21.46,2.69,7.23,Survived,old
Gelada_8,M2,F,11/22/15,0,1,11,2015,11/4/02,13.05,0.53,0.28,Survived,old
Gelada_19,A,F,11/26/15,1,0.43,11,2015,11/3/03,12.06,0.28,0.08,Infanticide,mid
Gelada_29,D,F,12/25/15,0,1,12,2015,5/25/07,8.59,-0.62,0.38,Survived,young
Gelada_4,B1,M,1/2/16,1,0.81,1,2016,9/25/10,5.27,-1.47,2.16,Infanticide,young
Gelada_81,C5,M,1/17/16,0,1,1,2016,12/1/05,10.13,-0.22,0.05,Survived,mid
Gelada_116,A,F,1/25/16,0,1,1,2016,5/30/04,11.66,0.17,0.03,Survived,mid
Gelada_165,C5,F,1/25/16,0,1,1,2016,2/17/04,11.94,0.24,0.06,Survived,mid
Gelada_24,M1,M,1/25/16,0,1,1,2016,1/1/98,18.06,1.82,3.30,Survived,old
Gelada_115,Z3,M,2/11/16,1,0.19,2,2016,11/1/05,10.28,-0.18,0.03,Injury or illness,mid
Gelada_47,B5,M,2/19/16,1,0.58,3,2016,1/1/04,12.13,0.29,0.09,Maternal death,mid
Gelada_22,D,F,2/25/16,0,1,2,2016,1/14/09,7.11,-1.00,0.99,Survived,young
Gelada_20,M1,F,2/25/16,0,1,2,2016,10/18/10,5.36,-1.45,2.09,Survived,young
Gelada_88,D,M,2/26/16,0,1,2,2016,9/3/09,6.48,-1.16,1.34,Survived,young
Gelada_122,D,M,3/5/16,0,1,3,2016,2/16/01,15.05,1.04,1.09,Survived,old
Gelada_43,C3,F,3/8/16,0,1,3,2016,2/20/09,7.04,-1.01,1.03,Survived,young
Gelada_147,D,M,3/28/16,0,1,3,2016,10/18/09,6.44,-1.17,1.36,Survived,young
Gelada_100,D,M,4/18/16,0,1,4,2016,5/1/97,18.97,2.05,4.20,Survived,old
Gelada_36,C5,F,4/27/16,0,1,4,2016,6/15/05,10.87,-0.03,0.00,Survived,mid
Gelada_144,D,M,6/6/16,0,1,6,2016,1/27/03,13.36,0.61,0.37,Survived,old
Gelada_213,B5,M,6/17/16,0,1,6,2016,11/11/02,13.6,0.67,0.45,Survived,old
Gelada_233,M2,F,6/17/16,0,1,6,2016,12/15/04,11.5,0.13,0.02,Survived,mid
Gelada_65,T,M,6/30/16,0,1,6,2016,10/1/03,12.75,0.45,0.20,Survived,mid
Gelada_141,C5,M,7/10/16,0,1,7,2016,1/24/10,6.46,-1.16,1.35,Survived,young
Gelada_150,T,U,7/20/16,1,0.16,7,2016,8/17/05,10.92,-0.02,0.00,Unknown,mid
Gelada_76,V,M,9/6/16,1,0.72,9,2016,3/11/07,9.49,-0.38,0.15,Unknown,mid
Gelada_44,K,F,10/11/16,0,1,10,2016,3/11/07,9.59,-0.36,0.13,Survived,mid
Gelada_162,T,M,10/20/16,1,0.68,10,2016,11/14/10,5.93,-1.30,1.69,Infanticide,young
Gelada_168,Z3,F,10/27/16,0,1,10,2016,3/26/01,15.59,1.18,1.40,Survived,old
Gelada_31,C3,F,10/27/16,0,1,10,2016,7/28/06,10.25,-0.19,0.04,Survived,mid
Gelada_25,M1,M,1/10/17,0,1,1,2017,9/9/98,18.34,1.89,3.56,Survived,old
Gelada_137,M2,F,1/10/17,0,1,1,2017,10/24/02,14.21,0.83,0.68,Survived,old
Gelada_40,G,F,1/17/17,0,1,1,2017,6/1/96,20.63,2.48,6.13,Survived,old
Gelada_2,G,F,1/17/17,0,1,1,2017,7/23/02,14.49,0.90,0.81,Survived,old
Gelada_37,M2,F,2/1/17,0,1,2,2017,8/25/97,19.44,2.17,4.71,Survived,old
Gelada_115,Z3,M,3/4/17,0,1,3,2017,11/1/05,11.34,0.09,0.01,Survived,mid
Gelada_19,A,M,3/15/17,0,1,3,2017,11/3/03,13.36,0.61,0.37,Survived,old
Gelada_135,Z5,M,3/22/17,0,1,3,2017,10/16/10,6.43,-1.17,1.37,Survived,young
Gelada_62,C3,F,4/1/17,0,1,4,2017,9/4/02,14.57,0.92,0.85,Survived,old
Gelada_170,A,F,4/15/17,0,1,4,2017,2/16/08,9.16,-0.47,0.22,Survived,mid
Gelada_116,A,F,5/15/17,0,1,5,2017,5/30/04,12.96,0.51,0.26,Survived,mid
Gelada_152,N,F,6/2/17,0,1,6,2017,6/15/08,8.96,-0.52,0.27,Survived,young
Gelada_219,N,F,6/2/17,0,1,6,2017,9/1/05,11.75,0.20,0.04,Survived,mid
Gelada_27,M1,F,6/10/17,1,0.72,6,2017,12/15/04,12.48,0.38,0.15,Maternal death,mid
Gelada_38,M2,F,6/20/17,0,1,6,2017,10/1/05,11.72,0.19,0.04,Survived,mid
Gelada_344,N,F,7/9/17,1,0.73,7,2017,6/1/05,12.1,0.29,0.08,Maternal death,mid
Gelada_7,A,F,7/20/17,0,1,7,2017,10/12/01,15.77,1.23,1.51,Survived,old
Gelada_249,G,F,7/21/17,1,0.07,7,2017,10/24/07,9.74,-0.32,0.10,Injury or illness,mid
Gelada_10,Z5,F,7/23/17,1,0.77,7,2017,6/15/04,13.1,0.54,0.29,Unknown,old
Gelada_388,A,F,7/27/17,0,1,7,2017,9/11/10,6.87,-1.06,1.12,Survived,young
Gelada_23,M1,M,8/5/17,1,0.07,8,2017,7/12/07,10.07,-0.24,0.06,Unknown,mid
Gelada_8,M2,F,8/28/17,0,1,8,2017,11/4/02,14.81,0.98,0.96,Survived,old
Gelada_181,N,F,9/5/17,0,1,9,2017,12/18/06,10.72,-0.07,0.00,Survived,mid
Gelada_24,M1,M,9/9/17,1,0.99,9,2017,1/1/98,19.69,2.23,4.99,Unknown,old
Gelada_360,A,M,9/22/17,0,1,9,2017,2/8/10,7.62,-0.87,0.75,Survived,young
Gelada_3,N,F,11/14/17,0,1,11,2017,9/1/99,18.2,1.85,3.43,Survived,old
Gelada_6,Z3,F,11/14/17,0,1,11,2017,7/2/07,10.37,-0.16,0.03,Survived,mid
Gelada_67,Z5,M,11/17/17,0,1,11,2017,6/7/12,5.45,-1.42,2.02,Survived,young
Gelada_153,C5,F,11/28/17,1,0.61,11,2017,3/1/97,20.74,2.50,6.27,Maternal death,old
Gelada_143,T,F,12/16/17,0,1,12,2017,6/18/07,10.5,-0.13,0.02,Survived,mid
Gelada_168,Z3,M,12/19/17,0,1,12,2017,3/26/01,16.73,1.47,2.17,Survived,old
Gelada_17,M1,F,12/24/17,1,0.04,12,2017,6/6/97,20.55,2.46,6.03,Maternal death,old
Gelada_93,V,M,1/5/18,0,1,1,2018,2/1/99,18.93,2.04,4.16,Survived,old
Gelada_26,T,F,1/10/18,1,0.11,1,2018,6/4/02,15.6,1.18,1.40,Infanticide,old
Gelada_64,M2,M,2/8/18,0,1,2,2018,6/5/12,5.68,-1.36,1.86,Survived,young
Gelada_130,M1,M,2/15/18,1,0.54,2,2018,2/1/09,9.04,-0.50,0.25,Injury or illness,mid
Gelada_174,Z3,M,2/22/18,0,1,2,2018,10/2/09,8.39,-0.67,0.45,Survived,young
Gelada_76,V,F,3/22/18,0,1,3,2018,3/11/07,11.03,0.01,0.00,Survived,mid
Gelada_132,V,M,4/10/18,0,1,4,2018,2/14/05,13.15,0.55,0.31,Survived,old
Gelada_165,C5,M,5/5/18,0,1,5,2018,2/17/04,14.21,0.83,0.68,Survived,old
Gelada_23,M1,F,5/20/18,0,1,5,2018,7/12/07,10.86,-0.03,0.00,Survived,mid
Gelada_211,V,F,5/25/18,0,1,5,2018,1/29/12,6.32,-1.20,1.44,Survived,young
Gelada_78,K,F,6/16/18,0,1,6,2018,8/24/11,6.81,-1.07,1.15,Survived,young
Gelada_48,V,M,8/29/18,0,1,8,2018,2/14/05,13.54,0.66,0.43,Survived,old
Gelada_233,M1,F,9/10/18,0,1,9,2018,12/15/04,13.74,0.71,0.50,Survived,old
Gelada_36,C5,M,10/17/18,1,0.3,10,2018,6/15/05,13.34,0.60,0.36,Injury or illness,old
Gelada_231,J1,F,11/21/18,0,1,11,2018,7/1/03,15.39,1.13,1.28,Survived,old
Gelada_44,K,F,11/22/18,0,1,11,2018,3/11/07,11.7,0.18,0.03,Survived,mid
Gelada_105,T2,M,2/21/19,0,1,2,2019,8/5/09,9.55,-0.37,0.14,Survived,mid
Gelada_313,B3,M,4/11/19,0,0.56,4,2019,7/16/10,8.74,-0.58,0.33,Censored,young
Gelada_178,K,M,4/17/19,0,1,4,2019,11/10/12,6.43,-1.17,1.37,Survived,young
Gelada_130,M1,F,5/23/19,0,1,5,2019,2/1/09,10.3,-0.18,0.03,Survived,mid
Gelada_20,M1,F,6/21/19,0,1,6,2019,10/18/10,8.67,-0.60,0.35,Survived,young
Gelada_29,D1,M,7/5/19,0,1,7,2019,5/25/07,12.11,0.29,0.08,Survived,mid
Gelada_240,G,M,7/15/19,0,1,7,2019,6/13/13,6.09,-1.26,1.58,Survived,young
Gelada_43,C3,M,7/18/19,1,0.1,7,2019,2/20/09,10.4,-0.15,0.02,Injury or illness,mid
Gelada_388,A,F,7/24/19,0,1,7,2019,9/11/10,8.87,-0.54,0.30,Survived,young
Gelada_122,D1,F,7/29/19,0,1,7,2019,2/16/01,18.44,1.91,3.66,Survived,old
Gelada_88,D1,M,7/29/19,0,1,7,2019,9/3/09,9.9,-0.28,0.08,Survived,mid
Gelada_22,D2,F,8/5/19,0,1,8,2019,1/14/09,10.55,-0.11,0.01,Survived,mid
Gelada_137,M2,F,8/16/19,0,1,8,2019,10/24/02,16.81,1.49,2.23,Survived,old
Gelada_65,T2,M,8/26/19,0,1,8,2019,10/1/03,15.9,1.26,1.59,Survived,old
Gelada_265,J1,M,8/31/19,0,1,8,2019,3/28/13,6.43,-1.17,1.37,Survived,young
Gelada_279,D1,F,9/12/19,0,1,9,2019,4/1/13,6.45,-1.17,1.36,Survived,young
Gelada_291,V,F,9/25/19,0,1,9,2019,12/1/07,11.82,0.21,0.05,Survived,mid
Gelada_19,A,F,10/1/19,0,1,10,2019,11/3/03,15.91,1.26,1.60,Survived,old
Gelada_62,C3,M,10/1/19,0,1,10,2019,9/4/02,17.07,1.56,2.44,Survived,old
Gelada_2,G,M,10/3/19,0,1,10,2019,7/23/02,17.2,1.59,2.54,Survived,old
Gelada_147,D1,F,10/8/19,0,1,10,2019,10/18/09,9.97,-0.26,0.07,Survived,mid
Gelada_170,A,M,10/15/19,0,1,10,2019,2/16/08,11.66,0.17,0.03,Survived,mid
Gelada_31,C3,M,10/21/19,0,1,10,2019,7/28/06,13.23,0.58,0.33,Survived,old
Gelada_8,M2,M,10/24/19,0,1,10,2019,11/4/02,16.97,1.54,2.36,Survived,old
Gelada_115,Z3,F,11/14/19,0,0.84,11,2019,11/1/05,14.03,0.78,0.61,Censored,old
Gelada_152,N,M,11/27/19,0,1,11,2019,6/15/08,11.45,0.12,0.01,Survived,mid
Gelada_6,Z3,F,12/14/19,0,0.76,12,2019,7/2/07,12.45,0.38,0.14,Censored,mid
Gelada_135,Z5,F,12/25/19,0,0.73,12,2019,10/16/10,9.19,-0.46,0.21,Censored,mid
Gelada_10,Z5,M,12/25/19,0,0.73,12,2019,6/15/04,15.53,1.17,1.36,Censored,old
Gelada_7,A,F,12/25/19,0,1,12,2019,10/12/01,18.2,1.85,3.43,Survived,old
Gelada_36,C5,M,2/21/20,0,1,2,2020,6/15/05,14.69,0.95,0.90,Survived,old
Gelada_360,A,F,3/3/20,0,1,3,2020,2/8/10,10.06,-0.24,0.06,Survived,mid
Gelada_360,A,F,3/4/20,0,1,3,2020,2/8/10,10.07,-0.24,0.06,Survived,mid
Gelada_162,T1,M,4/2/20,0,1,4,2020,11/14/10,9.38,-0.41,0.17,Survived,mid
Gelada_141,C5,M,8/16/20,0,1,8,2020,1/24/10,10.56,-0.11,0.01,Survived,mid
Gelada_407,T1,F,10/14/20,0,0.68,10,2020,4/27/13,7.47,-0.90,0.82,Censored,young
Gelada_78,K,F,10/14/20,0,1,10,2020,8/24/11,9.14,-0.47,0.23,Survived,mid
Gelada_329,V,F,10/14/20,0,1,10,2020,10/3/14,6.03,-1.27,1.62,Survived,young
Gelada_76,V,M,10/16/20,0,1,10,2020,3/11/07,13.6,0.67,0.45,Survived,old
Gelada_155,G,F,10/21/20,0,0.66,10,2020,6/15/14,6.35,-1.19,1.42,Censored,young
Gelada_26,T1,M,10/21/20,0,0.66,10,2020,6/4/02,18.38,1.90,3.60,Censored,old
Gelada_181,N,M,11/10/20,0,1,11,2020,12/18/06,13.9,0.75,0.56,Survived,old
Gelada_130,M1,F,9/11/21,0,1,9,2021,2/1/09,12.61,0.42,0.17,Survived,mid
Gelada_16,M1,M,9/11/21,0,1,9,2021,2/25/14,7.54,-0.89,0.78,Survived,young
Gelada_211,V,M,9/11/21,0,1,9,2021,1/29/12,9.62,-0.35,0.12,Survived,mid
Gelada_31,D3,F,9/27/21,1,0.82,9,2021,7/28/06,15.17,1.07,1.15,Maternal death,old
Gelada_391,V,F,9/27/21,0,1,9,2021,10/9/14,6.97,-1.03,1.07,Survived,young
Gelada_14,V,F,9/27/21,0,1,9,2021,12/25/13,7.76,-0.83,0.69,Survived,young
Gelada_281,D3,F,10/4/21,1,0.8,10,2021,6/13/14,7.31,-0.94,0.89,Maternal death,young
Gelada_29,D1,F,10/4/21,0,1,10,2021,5/25/07,14.36,0.87,0.75,Survived,old
Gelada_88,D1,M,3/8/22,0,1,3,2022,9/3/09,12.51,0.39,0.15,Survived,mid
Gelada_265,J1,M,5/20/22,0,1,5,2022,3/28/13,9.14,-0.47,0.23,Survived,mid
Gelada_316,K,M,8/11/22,1,0.37,8,2022,11/21/14,7.72,-0.84,0.70,Maternal death,young
Gelada_22,C6,M,9/30/22,0,1,9,2022,1/14/09,13.71,0.70,0.49,Survived,old
Gelada_444,D1,M,10/10/22,0,0.81,10,2022,12/25/15,6.79,-1.08,1.16,Censored,young
Gelada_191,C6,M,11/22/22,1,0.56,11,2022,1/10/13,9.86,-0.29,0.08,Infanticide,mid
Gelada_104,C6,M,11/22/22,1,0.67,11,2022,2/8/13,9.79,-0.31,0.09,Infanticide,mid
Gelada_147,D1,M,11/24/22,0,0.68,11,2022,10/18/09,13.1,0.54,0.29,Censored,old
Gelada_279,D4,F,3/4/23,0,0.41,3,2023,4/1/13,9.92,-0.27,0.08,Censored,mid
Gelada_178,K1,F,3/14/23,0,0.38,3,2023,11/10/12,10.34,-0.17,0.03,Censored,mid